id,name_cn,rank,total,total_score,prob_score,simp_score,conf_score
1451,东之伊甸,751,4490,399423,3340.4387,5576,32294.0005
1452,豹头王传说,1878,316,23374,1263.2172,2370,5527.8885
1453,少女革命,53,3360,724590,5277.2842,7468,52328.3527
1454,夏之岚!,1566,853,52246,1761.361,3235,9617.385
1455,钢壳都市雷吉欧斯,5658,825,-155512,-1124.8375,-2042,-12162.0526
1456,兽之奏者艾琳,1494,201,20926,1148.4418,2214,4897.3243
1461,虫之歌,4749,769,-105781,-491.6369,-866,-7348.8084
1466,七鬼神,4392,900,-99905,-1136.3751,-2131,-9584.2385
1467,胡子小鸡,2100,561,-23931,-65.6279,-141,-1686.236
1486,圣斗士星矢 极乐净土篇,3428,504,-36341,175.6381,289,-1666.6241
1487,樱兰高校男公关部,654,4115,293030,3314.8463,5578,27659.2617
1505,天堂餐馆,1650,487,4410,748.2026,1299,2830.3789
1506,飞篮扣杀,3822,275,0,0.0,0,0.0
1507,花冠之泪,4756,591,-383,-34.0964,-49,-114.1388
1510,美少女战士,1188,1411,117167,2855.8257,4926,17567.9127
1511,甜甜私房猫,858,861,44622,1715.6127,3267,8764.3643
1512,狼与香辛料 第二季,405,5514,707525,4051.0251,6364,44926.6998
1515,玩偶游戏,1023,199,14722,986.2923,1932,3819.3434
1529,伊里野的天空、UFO的夏天,1377,1239,91705,2198.8406,3913,13629.4454
1531,奇幻贵公子,1927,949,18220,1290.0859,2451,6154.7277
1533,异世界的圣机师物语,2984,423,-12638,567.2838,1021,960.2625
1545,鹤屋和熏干酪,3675,1415,-154971,-394.3048,-649,-8154.9379
1547,十兵卫 心形眼罩的秘密,2284,187,5728,724.8003,1301,2422.8651
1583,电影少女,1840,272,21831,1547.4038,2677,6235.9508
1593,阿拉德战记 Slap-up Party,7148,636,-213913,-2983.1148,-4535,-22794.267
1600,死神,2108,3536,-25554,1524.8713,2741,7631.8228
1605,游魂 -Kiss on my Deity-,6299,824,-212490,-2049.0796,-3479,-18523.7846
1606,凉宫春日的忧郁 2009,224,11553,1456054,4567.6144,7065,66513.9142
1607,吸血鬼猎人D：妖杀行,246,1600,369903,4953.234,7028,38062.2887
1608,灌篮高手,20,7214,1188363,5813.4364,7541,69316.1953
1609,游戏王5D's,366,1355,163665,3101.4226,5190,20187.651
1617,不可思议的教室,659,932,142923,2803.1352,5077,18315.5662
1618,阿拉德战记 Slap-up Party,7148,636,0,0.0,0,0.0
1625,海马,196,1606,349681,4744.9214,6781,35793.9234
1638,雨月,4696,367,-70047,-1476.4058,-2640,-9390.5578
1639,变形金刚,692,268,28631,1416.3734,2719,6244.0516
1650,你所期望的永远,1590,1191,113142,2532.9275,4766,15963.1109
1671,化物语,79,15211,2174805,5192.0876,7454,85449.901
1688,铁马少年,1579,175,12182,794.8777,1233,3152.096
1703,纯情罗曼史,1542,1247,-27105,162.7049,334,-537.2967
1704,猎人,67,3665,588698,5122.0078,7248,46904.1696
1707,云之彼端，约定的地方,1600,3888,87513,2235.0306,3836,16601.0694
1728,浪客剑心 追忆篇,8,5683,1181285,6388.0522,7628,71768.2387
1729,GA 艺术科美术设计班,1679,739,18958,1232.9665,2170,5654.6691
1730,简单易懂的现代魔法,6459,887,-226259,-2069.4018,-3604,-19226.092
1731,大正野球娘。,2524,491,4356,1011.6267,2012,3702.8354
1737,传颂之物 OVA,3656,700,-76875,55.3429,3,-3713.0497
1739,魔力充电娘,6541,497,-133738,-1863.3441,-3268,-14474.3025
1740,海物语～有你陪伴～,5493,481,-84590,-986.2757,-1962,-8528.6447
1741,黑塔利亚 第2期,776,1838,18108,1005.7114,2042,5482.2713
1742,忏?再见绝望先生,448,2201,330321,3842.2692,6053,31176.5376
1743,东京地震8.0,1228,2308,147706,2520.6718,4492,18296.0115
1748,黑执事II,5997,2062,-330214,-1641.8756,-3045,-20366.4501
1749,战国BASARA OVA,2931,233,-32047,-583.7577,-966,-4160.8959
1750,战国BASARA 贰,3143,780,-77327,-507.2346,-914,-5965.4653
1752,来来猫,600,278,19733,1145.1817,2462,4774.9289
