id,name_cn,rank,total
1868,灼眼的夏娜 恋爱和温泉校外学习,3829,1190
1779,死刑判决,3246,571
1780,骷髅13,1671,152
1788,FLAG,1525,216
1789,AIKa ZERO,6622,264
1790,AIKa R-16:处女任务,6701,320
1804,心跳回忆Only Love,4056,426
1805,铳墓,438,855
1822,加奈日记,3444,932
1836,空中杀手,518,1901
1838,死神的歌谣,3786,524
1839,仰望半月的夜空,2503,1084
1841,秘密 ～The Revelation～,3790,165
1842,我叫MT 第一季,1743,672
1848,读或死 OVA,1044,960
1849,KERORO军曹,1031,1188
1850,读或死 TV,1916,790
1851,天使的心跳！,835,14427
1852,拜托了双子星,3012,555
1856,十二国记,103,3043
1860,机动战士高达SEED,1231,3380
1861,机动战士高达SEED DESTINY,5501,2536
1862,灼眼的夏娜 剧场版,3759,1408
1867,海贼王 打倒海贼强萨克！,3831,240
1868,灼眼的夏娜 恋爱和温泉校外学习,3819,1191
1869,海贼王 黄金岛大冒险,3468,449
1870,旋风管家 泳装篇,3641,779
1871,海贼王 发条岛的冒险,3338,435
1877,校园迷糊大王 一学期补习,651,1079
1878,校园迷糊大王 二学期,351,2078
1879,校园迷糊大王 三学期,1348,1098
1880,零之使魔,2591,5366
2063,初音岛,3266,1163
1890,最终幻想VII：降临之子,581,3120
1891,少女革命剧场版 思春期默示录,106,1722
1894,勇者王GaoGaiGar,512,386
2079,漫画同人会 Revolution,4430,112
1897,四叶游戏,226,1029
1898,苍之茧,1092,998
1899,真月谭月姬,6445,1592
1901,海贼王 珍兽岛之乔巴王国,3331,415
1904,海贼王  死亡尽头的冒险,2424,434
1905,夏日大作战,325,8792
1906,暗与帽子与书之旅人,3429,683
1912,七武士,1994,395
1920,玻璃舰队,5702,69
1922,蓝色恐惧,16,6300
1923,红辣椒,48,7721
1924,死神剧场版 钻石星尘的反叛 另一个冰轮丸,5393,697
1925,死神剧场版 无人的回忆,4220,601
1926,圣枪修女,1007,1020
1927,罗密欧与朱丽叶,3757,421
1930,新撰组异闻录 铁,1704,652
1931,最终兵器彼女,1470,1544
1932,夕阳染红的街道 Hardcore,5967,645
1933,青之6号,2095,559
1934,中华小当家,929,3121
1935,钢之炼金术师 香巴拉的征服者,1194,2464
1936,星之声,1255,3720
1937,无限的未知,269,1252
1938,蒸汽男孩,1493,1205
1939,网球王子,3248,1930
1940,魔卡少女樱,164,6934
1941,魔卡少女樱 香港之旅,871,1854
1942,魔卡少女樱 被封印的卡片,345,2379
1943,遥远时空中 八叶抄,4348,281
1944,遥远时空中 舞一夜,3050,176
1945,遥远时空中 紫阳花物语,5640,91
1946,遥远时空中2 白龙之神子,4652,75
1947,人鱼之森,1176,500
1948,奇诺之旅,185,3320
1949,奇诺之旅 疾病之国 -为了你-,1297,1029
1951,魔女猎人罗宾,1835,298
1952,迦南,2645,3065
1953,恐怖宠物店,1230,920
1954,高智能方程式,1229,764
1955,高智能方程式：Cyber Formula 11,762,400
1956,高智能方程式：ZERO,559,431
1957,高智能方程式：SAGA,661,404
1958,高智能方程式：SIN,433,495
1959,怪物,84,2616
1961,玻璃假面,814,272
1962,大闹天宫,30,3671
